GFLOPS,assigned_memory_usage
0,0
0.084,0.14355
0.084,0.14355
0.259,0.07177
0.259,0.07177
0.13,0.017944
0.13,0.017944
0.173,0.28710
0.173,0.28710
0.116,0.28710
0.116,0.28710
0.059,0.1914
